英雄,初始生命,初始法力,初始物攻,初始物防,初始每5秒回血,初始每5秒回蓝,攻击范围,主要定位
夏侯惇,3307,430,159,101,51,15,近战,坦克
钟无艳,3150,430,164,100,48,15,近战,战士
张飞,3450,100,153,125,57,5,近战,坦克
牛魔,3537,470,156,109,58,17,近战,坦克
吕布,3564,0,170,99,54,0,近战,战士
亚瑟,3622,0,164,98,55,0,近战,战士
芈月,3105,100,152,88,44,0,远程,法师
程咬金,3437,0,161,125,57,0,近战,坦克
廉颇,3558,420,163,132,59,15,近战,坦克
东皇太一,3201,470,163,99,53,17,近战,坦克
庄周,3311,420,170,150,55,15,近战,辅助
太乙真人,3443,420,154,94,49,15,近战,辅助
白起,3510,420,158,120,58,14,近战,坦克
雅典娜,2862,430,162,106,44,15,近战,战士
刘邦,3369,470,158,125,58,17,近战,坦克
刘禅,3364,420,178,139,56,15,近战,坦克
墨子,3083,420,181,102,51,15,近战,法师
项羽,3535,420,157,123,58,15,近战,坦克
关羽,3322,10,170,101,51,0,近战,战士
后羿,3182,440,161,86,41,16,远程,射手
马可波罗,3041,200,175,91,46,50,远程,射手
鲁班七号,3401,440,174,88,42,15,远程,射手
李元芳,3007,440,161,87,37,15,远程,射手
孙尚香,3235,440,172,89,40,15,远程,射手
黄忠,3173,440,172,91,39,16,远程,射手
狄仁杰,3242,440,169,95,40,15,远程,射手
虞姬,2977,440,165,84,36,16,远程,射手
成吉思汗,3027,440,184,94,37,15,远程,射手
嬴政,3125,490,157,91,44,17,远程,法师
武则天,2860,490,173,95,40,18,远程,法师
露娜,3021,450,163,102,52,16,近战,战士
甄姬,3041,490,165,87,43,18,远程,法师
妲己,3229,490,170,86,46,18,远程,法师
干将莫邪,3189,490,159,92,45,17,远程,法师
姜子牙,2958,490,168,106,42,18,远程,法师
王昭君,3083,490,165,91,44,17,远程,法师
诸葛亮,3135,490,156,87,44,18,远程,法师
不知火舞,3235,200,170,89,46,50,近战,法师
貂蝉,3019,490,167,87,43,17,近战,法师
孙膑,3208,470,176,98,45,17,远程,辅助
安琪拉,3323,490,170,83,47,17,远程,法师
小乔,3088,490,153,95,44,18,远程,法师
周瑜,3093,490,160,87,44,17,远程,法师
张良,3027,490,170,87,43,18,远程,法师
高渐离,3122,490,163,98,44,17,远程,法师
扁鹊,3205,490,168,87,45,18,远程,法师
钟馗,3420,490,162,99,57,17,近战,法师
大乔,2958,470,168,93,42,17,近战,辅助
鬼谷子,3322,450,162,92,47,16,近战,辅助
蔡文姬,3238,470,159,96,38,17,远程,辅助
花木兰,2886,100,166,86,44,0,近战,战士
赵云,3267,430,173,84,50,15,近战,战士
橘石京,3150,0,165,96,48,0,近战,刺客
李白,2968,450,169,98,49,16,近战,刺客
韩信,2988,430,172,92,45,15,近战,刺客
杨戬,3339,420,166,98,51,15,近战,战士
达摩,3213,420,171,95,51,15,近战,战士
孙悟空,3293,430,167,94,50,15,近战,战士
刘备,3225,440,163,113,40,15,远程,战士
曹操,3467,0,174,104,54,0,近战,战士
典韦,3434,430,168,89,52,16,近战,战士
宫本武藏,2902,0,157,106,47,0,近战,战士
老夫子,3370,5,168,100,51,0,近战,战士
哪吒,3483,450,159,99,53,16,近战,战士
阿轲,3269,0,177,89,50,0,近战,刺客
娜可露露,3239,450,173,86,47,16,近战,刺客
兰陵王,3292,450,171,85,52,19,近战,刺客
铠,3375,440,176,107,44,16,近战,战士
百里守约,3019,440,188,94,39,16,远程,射手
