英雄,初始生命,初始法力,初始物攻,初始物防,初始每5秒回血,初始每5秒回蓝,攻击范围,主要定位
钟无艳,3150,430,164,100,48,15,近战,战士
吕布,3564,0,170,99,54,0,近战,战士
亚瑟,3622,0,164,98,55,0,近战,战士
雅典娜,2862,430,162,106,44,15,近战,战士
关羽,3322,10,170,101,51,0,近战,战士
露娜,3021,450,163,102,52,16,近战,战士
花木兰,2886,100,166,86,44,0,近战,战士
赵云,3267,430,173,84,50,15,近战,战士
杨戬,3339,420,166,98,51,15,近战,战士
达摩,3213,420,171,95,51,15,近战,战士
孙悟空,3293,430,167,94,50,15,近战,战士
刘备,3225,440,163,113,40,15,远程,战士
曹操,3467,0,174,104,54,0,近战,战士
典韦,3434,430,168,89,52,16,近战,战士
宫本武藏,2902,0,157,106,47,0,近战,战士
老夫子,3370,5,168,100,51,0,近战,战士
哪吒,3483,450,159,99,53,16,近战,战士
铠,3375,440,176,107,44,16,近战,战士
